restaurant name,locality,feature,review,sentiment
the boston butt,Bandra,cuisine,"Located in Bandra , the menu is influenced by food culture of Kentucky and Texas.Smoked chicken chilly and tacos made with cottage cheese and yoghurt is lovely dishThey also serve Goan style cuisine which are also exclusive and worth a try.Mac-a-Pav is an interesting mix of ingredients which is worth trying",1
the boston butt,Bandra,cuisine,"This restaurant is India is 1st smokery , charcuterie , bar and cafe and is in Bandra West.With perfect ambiance and seating arrangement and a great choice of cuisines , this place is a must try.The staff is very friendly and polite and always eager to assist you in case you are stuck in deciding the menu.What we loved most about the menu was the fact that it mentions whether the item is keto friendly , gluten-free , vegan or vegetarian.Here is what we had ordered.Curry Scented B*tch : A perfect blend of titto gluten-free vodka , curry , cranberry , and Medjool date",1
the boston butt,Bandra,place,The ribs and pulled pork are also great and this place boasts one of the best chicken and waffles in the country .,1
the boston butt,Bandra,place,"The menu boasts about meat products that are cured & aged for over 60+ days and slow cooked to perfection and served on the plate ; that ’ s the signature of this place ! We called for a Non-Alcoholic cocktail ‘ Masala Daddy ’ an Indian chaat spiced drink mixed with cumin & coriander with cranberry juice as the main blend ; served in a jazzy glass this was a perfect drink to get our taste buds rolling. ‘ Lean Whiskey Sour ’ from their lean Cocktail section , yes they have a section of cocktails boasting of under 99 calories and we couldn ’ t be more happier trying it out",1
the boston butt,Bandra,place,"Coming to the menu , good collection of Authentic American dishes with luscious cocktails.The best part of this place is , they make their syrup in house",1
the boston butt,Bandra,place,Also this place serves some of the healthy options as well,1
the boston butt,Bandra,place,"The rice along with Shrimps was delicious . *Dessert*1 ) FRESHLY BAKED SKILLET CHOCOLATE CHIP COOKIE , HOUSE ICE CREAM -This was they best thing i had at this place",1
the boston butt,Bandra,place,"For non vegetarians , Worth to visit this place , you won ’ t be disappointed.Looking forward to my next visit ! Food 5/5Service 5/5Ambience 5/5Recommend 5/5Value for money 5/5Keep traveling , keep eating , keep Clicking .",1
the boston butt,Bandra,place,This restaurant is located on the main road so it is easy to find this place you can go to this place using the Google map it will take you to the right place,1
the boston butt,Bandra,place,The food at this place is just amazing they keep their food preserve in the best way they can,1
the boston butt,Bandra,place,This place is not so big but it has decent sittings both the indoor and the outdoor the indoor area has a good air-condition,1
the boston butt,Bandra,place,There was good music played in the restaurant so you can enjoy your food and drinks with music even if you are alone and want to spend some peaceful time you should definitely give this place a try,1
the boston butt,Bandra,place,"@ thebostonbutt has moved to Pali Hill , Bandra.India is first Smokery Charcuterie Bar.Known for it is Fancy Cocktails and Meat selection.It is a good place to experience authentic southern American delicacies.Open only from 6pm onwards. # TWSrecommends : The Bloom Bread , Fried Chicken and Waffles , BBQ Shrimps and Skillet Chocolate Cookie.Missed their cheesecake : ( Wish they open for Brunch super soon ! # LipSmackingMeter 4/5More updates on Insta @ thewickedsoul",1
the boston butt,Bandra,place,Boston brand is now available in mumbai with bang.first restaurant in mumbai available with smokers.amazing place with classy ambience and amazing music.Quick service with supportive staff,1
the boston butt,Bandra,place,The Boston Butt..amazing place with cool ambience and music.Very good service and staff were realy humble and cooperative.The food of this place were very pleasant.Cocktails were amazing only needed some more alcohol content in it,1
the boston butt,Bandra,place,"Rest food and drinks were delicious.Well we had below dishes.•tropic like it is hot ( c ) - highly recommended , very good in taste.•the Boston butt shake ( m ) - highly recommended , amazing thick shake.•sazerac frost ( c ) - well this should be little less in price , then it gon na rock.•La Di da ( c ) - nice but presentation more required , taste was fair enough.•lemon pepper chicken•mac a pav•smoked pulled jerk chicken•bbq chicken pizza•skillet chocolate chip cookie ( dessert ) Well the food and dessert was presented really well , tasted very delicious.Overall good experience I had.Must visit this place .",1
the boston butt,Bandra,place,"This restaurant is India is 1st smokery , charcuterie , bar and cafe and is in Bandra West.With perfect ambiance and seating arrangement and a great choice of cuisines , this place is a must try.The staff is very friendly and polite and always eager to assist you in case you are stuck in deciding the menu.What we loved most about the menu was the fact that it mentions whether the item is keto friendly , gluten-free , vegan or vegetarian.Here is what we had ordered.Curry Scented B*tch : A perfect blend of titto gluten-free vodka , curry , cranberry , and Medjool date",1
the boston butt,Bandra,place,"Highly recommendedOverall , The Boston Butt is a perfect place to wine and dine",1
the boston butt,Bandra,place,"Except from good food , service also places an important role and I would like to mention Ravi and his team here for treating every customer equally with great hospitality.I will definitely recommend this place for best food and drinks in town",1
the boston butt,Bandra,place,"The Boston Butt is India ’ s 1st Smokery , Charcuterie , Bar and Café and are influenced by Texan and Louisiana American Smokeries which are the best in the world.Recently got an opportunity to try this amazing place at Bandra West",1
the boston butt,Bandra,place,We did try a few of Chef special and loved them.This place is a go-to place for all Pork and Bacon lovers,1
the boston butt,Bandra,food,"Probably the best steak in Bombay.Delicious food , superb service and good draught beer",1
the boston butt,Bandra,food,Great hearty American style food.If you want authentic American barbecue this is your spot.We went here for the Sunday brunch which was a great experience .,1
the boston butt,Bandra,food,"Located in Bandra , the menu is influenced by food culture of Kentucky and Texas.Smoked chicken chilly and tacos made with cottage cheese and yoghurt is lovely dishThey also serve Goan style cuisine which are also exclusive and worth a try.Mac-a-Pav is an interesting mix of ingredients which is worth trying",1
the boston butt,Bandra,food,This restaurant also has a big screen projection so if you want to enjoy your favorite match you can enjoy our match with your food or drinks,1
the boston butt,Bandra,food,The food at this place is just amazing they keep their food preserve in the best way they can,1
the boston butt,Bandra,food,There was good music played in the restaurant so you can enjoy your food and drinks with music even if you are alone and want to spend some peaceful time you should definitely give this place a try,1
the boston butt,Bandra,food,This was a hot cookie served with ice cream on it taste was good and the cookie was soft..All the food we had was just amazing they did not gave us any chance of disappointment loved the small cozy ambience over all best food experience,1
the boston butt,Bandra,food,"Highly appreciated.All thanks to captain gururaj.The food quality and cocktail quality was fabulousHygenic and cleanliness is well maintainedWithout wasting time lets have a look on what we had.•tropic like it is hot ( c ) - very well presented drink which was made up of fresh fruit and very refreshing delicacy.•the Boston butt shake ( m ) - highly recommended shake , amazingly delicious and very good combination of chocolate and cream.•sazerac frost ( c ) - this is something unique and classy historical drink which consists of absinthe and Cognac.also added lime , sugar and basils which gave really good taste.traditional way to make sazerac is to rinse the glass with absinthe liquor and cognac brandy is added with lime , sugar and basils.absinthe liquor has very high alcohol volume.Overall drink was soothing and adequately strong.not strong as expected.it is definitely worth to try.•La Di da ( c ) - it was tequilla based cocktail and sugar content was perfectly found.very delicious drink it was",1
the boston butt,Bandra,food,The Boston Butt..amazing place with cool ambience and music.Very good service and staff were realy humble and cooperative.The food of this place were very pleasant.Cocktails were amazing only needed some more alcohol content in it,1
the boston butt,Bandra,food,"Rest food and drinks were delicious.Well we had below dishes.•tropic like it is hot ( c ) - highly recommended , very good in taste.•the Boston butt shake ( m ) - highly recommended , amazing thick shake.•sazerac frost ( c ) - well this should be little less in price , then it gon na rock.•La Di da ( c ) - nice but presentation more required , taste was fair enough.•lemon pepper chicken•mac a pav•smoked pulled jerk chicken•bbq chicken pizza•skillet chocolate chip cookie ( dessert ) Well the food and dessert was presented really well , tasted very delicious.Overall good experience I had.Must visit this place .",1
the boston butt,Bandra,food,"I do not think you can go wrong with anything here.Coming to the food we tried the : Smoked Pork Rib - Oh god , this was one of the best pork ribs I ever tasted in my life",1
the boston butt,Bandra,food,"This is a must must try here.Smoked Crispy Bacon - Bacon with good crispiness was just perfect.Nachos Mezze - Not the regular Nachos , this one is really yumm which is topped with a layer of cheese and 4 different flavours topped with.Smoked pulled chicken and pork was best in taste with 4 different bbq sauce to try with it.BBQ shrimps - Being a Shrimp lover , I am already in love with this beautiful shrimp so tender and so juicy.Also known best for their drinks here , do try their signature cocktails and not to be missed the massive `` POPcorn LIT '' one which will definitely knock you down.Freshly baked chocolate cookies with in house ice cream is the speciality here , Recommended.Had a stupendous experience tasting some of the best American style food here with a nice touch of personalised customer service by Pritesh",1
the boston butt,Bandra,food,"Except from good food , service also places an important role and I would like to mention Ravi and his team here for treating every customer equally with great hospitality.I will definitely recommend this place for best food and drinks in town",1
the boston butt,Bandra,food,"But trust me , the wait is totally worth it.Overall rating : 5/5Gujjubhaifoodstories verdict : The ambiance is good , the service is super quick & prompt",1
the boston butt,Bandra,quality,"Highly appreciated.All thanks to captain gururaj.The food quality and cocktail quality was fabulousHygenic and cleanliness is well maintainedWithout wasting time lets have a look on what we had.•tropic like it is hot ( c ) - very well presented drink which was made up of fresh fruit and very refreshing delicacy.•the Boston butt shake ( m ) - highly recommended shake , amazingly delicious and very good combination of chocolate and cream.•sazerac frost ( c ) - this is something unique and classy historical drink which consists of absinthe and Cognac.also added lime , sugar and basils which gave really good taste.traditional way to make sazerac is to rinse the glass with absinthe liquor and cognac brandy is added with lime , sugar and basils.absinthe liquor has very high alcohol volume.Overall drink was soothing and adequately strong.not strong as expected.it is definitely worth to try.•La Di da ( c ) - it was tequilla based cocktail and sugar content was perfectly found.very delicious drink it was",1
the boston butt,Bandra,price,Coming to the price range..PRICEDRINKS1 ) Tropic Like Its Hot = Rs 495/-2 ) LE Grinch = Rs 295/-STARTERS3 ) Bloom Bread = Rs 347/-MAINS4 ) 4 Cheese Mac And Cheese = Rs 447/-DESSERT5 ) Chocolate Chip Cookie = Rs543/-THIS PRICE IS EXCLUDING TAXES,1
the boston butt,Bandra,price,"Rest food and drinks were delicious.Well we had below dishes.•tropic like it is hot ( c ) - highly recommended , very good in taste.•the Boston butt shake ( m ) - highly recommended , amazing thick shake.•sazerac frost ( c ) - well this should be little less in price , then it gon na rock.•La Di da ( c ) - nice but presentation more required , taste was fair enough.•lemon pepper chicken•mac a pav•smoked pulled jerk chicken•bbq chicken pizza•skillet chocolate chip cookie ( dessert ) Well the food and dessert was presented really well , tasted very delicious.Overall good experience I had.Must visit this place .",1
the boston butt,Bandra,ambience,This was a hot cookie served with ice cream on it taste was good and the cookie was soft..All the food we had was just amazing they did not gave us any chance of disappointment loved the small cozy ambience over all best food experience,1
the boston butt,Bandra,ambience,Boston brand is now available in mumbai with bang.first restaurant in mumbai available with smokers.amazing place with classy ambience and amazing music.Quick service with supportive staff,1
the boston butt,Bandra,ambience,The Boston Butt..amazing place with cool ambience and music.Very good service and staff were realy humble and cooperative.The food of this place were very pleasant.Cocktails were amazing only needed some more alcohol content in it,1
the boston butt,Bandra,ambience,The ambience is dark red rustic ambience with nice comfortable seating and dark lighting,1
the boston butt,Bandra,service,"Probably the best steak in Bombay.Delicious food , superb service and good draught beer",1
the boston butt,Bandra,service,One of the best sellers at The Boston Butt and do give it a try ! Dining at The Boston Butt came as a different experience altogether ; the flavors are more prominent and meat has a superior texture to them and the overall service ( Thanks to Miss Phyphy ) was great too ! Will be definitely visiting again to try their other smoked offerings ! ! !,1
the boston butt,Bandra,service,Akho who helped us in all the possible way she can she was fast at her service she did not gave us any chance of disappointment over all service was good,1
the boston butt,Bandra,service,Excellent service and music,1
the boston butt,Bandra,service,Boston brand is now available in mumbai with bang.first restaurant in mumbai available with smokers.amazing place with classy ambience and amazing music.Quick service with supportive staff,1
the boston butt,Bandra,service,The Boston Butt..amazing place with cool ambience and music.Very good service and staff were realy humble and cooperative.The food of this place were very pleasant.Cocktails were amazing only needed some more alcohol content in it,1
the boston butt,Bandra,service,"This is a must must try here.Smoked Crispy Bacon - Bacon with good crispiness was just perfect.Nachos Mezze - Not the regular Nachos , this one is really yumm which is topped with a layer of cheese and 4 different flavours topped with.Smoked pulled chicken and pork was best in taste with 4 different bbq sauce to try with it.BBQ shrimps - Being a Shrimp lover , I am already in love with this beautiful shrimp so tender and so juicy.Also known best for their drinks here , do try their signature cocktails and not to be missed the massive `` POPcorn LIT '' one which will definitely knock you down.Freshly baked chocolate cookies with in house ice cream is the speciality here , Recommended.Had a stupendous experience tasting some of the best American style food here with a nice touch of personalised customer service by Pritesh",1
the boston butt,Bandra,service,"Except from good food , service also places an important role and I would like to mention Ravi and his team here for treating every customer equally with great hospitality.I will definitely recommend this place for best food and drinks in town",1
the boston butt,Bandra,service,"But trust me , the wait is totally worth it.Overall rating : 5/5Gujjubhaifoodstories verdict : The ambiance is good , the service is super quick & prompt",1
the boston butt,Bandra,atmosphere,We ended out night with their version of a smokey old fashioned and enjoyed the chill atmosphere and funky beats,-1
lotus leaf,Eksar,decor,"The place is quite big , decor quite impressive with open see thru kitchen , service good and food amazing",1
lotus leaf,Eksar,decor,"Lotus leaf- Place is located @ askay resort , new link road , Borivali.Interior is classy and has amazing energy level with fantastic vibe and great feeling once we enter this place.Staff here is well mannered and active in taking orders Eye catching decors impressed me at first look , This place is open 24hrs for night craving ppl this is best place to visit We started with couples of Mocktail drinks which was refreshing Our ratingsFood- 4/5Ambiance- 5/5Service- 5/5 Heading toward food we had1",1
lotus leaf,Eksar,place,"Lotus leaf a part of esaky resorts i recently visited this place with my friend to have some lunch over here.The place is very much nice open view , Peace , Relaxful .The outlet is very much big to party over here and talking about is quite simple but elegant .The staff is also co operative and the service is also good and Now let is head to the dishes that we head here..Drinks..1.Fruit Punch.2.Green Colada..Appetizer..1.Kathi Roll.2.Chau Chu Panner..Mains..1.PannerTikka Masala..2.Awadhi Parda Lakwani Biryani ... Breads..Lacha paratha ... Dessert.Tiramisu..We had an good time over here",1
lotus leaf,Eksar,place,"This place is situated in eskay resort 1st floor , next to time square lane , off new link road , Borivali west.This place have impressive ambience , beautiful structures , group seating , pure veg food , live screening , open kitchen , smoking area , powerful drinks and Hardworking staff.At here we have try some good and interesting food",1
lotus leaf,Eksar,place,"Like in appetizers and main course dishesIn Appetizers i like the Cha Chu Paneer it likes crunchy paneer in some spicy masala.Main course : we have place 2 different gravyVEG RAJASTHANIPANEER TIKKA MASALA , this both dish was good in taste , comes i huge quantity so enough for 3-4 people , medium spicy and some secret masala.So i will highly recommend this place for North Indian food .",1
lotus leaf,Eksar,place,In mocktails I liked the vergin Canberra mojito.A good place to go with family and friends .,1
lotus leaf,Eksar,place,"The place is quite big , decor quite impressive with open see thru kitchen , service good and food amazing",1
lotus leaf,Eksar,place,"The place is really amazing and peaceful.The resort has 4 pure vegetarian restaurants , and all 4 seems really good",1
lotus leaf,Eksar,place,"Lotus leaf- Place is located @ askay resort , new link road , Borivali.Interior is classy and has amazing energy level with fantastic vibe and great feeling once we enter this place.Staff here is well mannered and active in taking orders Eye catching decors impressed me at first look , This place is open 24hrs for night craving ppl this is best place to visit We started with couples of Mocktail drinks which was refreshing Our ratingsFood- 4/5Ambiance- 5/5Service- 5/5 Heading toward food we had1",1
lotus leaf,Eksar,place,I recently visited this place basically to dine-in at one of their restaurants called Lotus leaf.We tried a lot of things and here are some of best items that we tried out here : - # Shakes - we tried Mango and strawberry shake of which mango was a decent one but both of which were not made with fresh pulp of fruits but with syrup so it was not that good. # Appetizers - we had one of the best watermelon feta salad which had ting of caramel in it and the freshness of watermelon along with feta cheese made it pleasant experience.Another starter that I loved was Asian crunchy corn which was spicy and crunchy corn tikka deep fried to create a nice texture around it,1
lotus leaf,Eksar,food,The Ambience is very attractive and have a great time with your family and friends.the food was tasty and delicious,1
lotus leaf,Eksar,food,"This place is situated in eskay resort 1st floor , next to time square lane , off new link road , Borivali west.This place have impressive ambience , beautiful structures , group seating , pure veg food , live screening , open kitchen , smoking area , powerful drinks and Hardworking staff.At here we have try some good and interesting food",1
lotus leaf,Eksar,food,"Like in appetizers and main course dishesIn Appetizers i like the Cha Chu Paneer it likes crunchy paneer in some spicy masala.Main course : we have place 2 different gravyVEG RAJASTHANIPANEER TIKKA MASALA , this both dish was good in taste , comes i huge quantity so enough for 3-4 people , medium spicy and some secret masala.So i will highly recommend this place for North Indian food .",1
lotus leaf,Eksar,food,Sitting is very spacious and comfortable.The food quality is great and higenic,1
lotus leaf,Eksar,food,"The place is quite big , decor quite impressive with open see thru kitchen , service good and food amazing",1
lotus leaf,Eksar,food,"Big thanks to the Management for amazing hospitality and mouthwatering food , specially desserts.Follow me on Instagram : foodiefirewall_tejas",1
lotus leaf,Eksar,food,"Lotus leaf- Place is located @ askay resort , new link road , Borivali.Interior is classy and has amazing energy level with fantastic vibe and great feeling once we enter this place.Staff here is well mannered and active in taking orders Eye catching decors impressed me at first look , This place is open 24hrs for night craving ppl this is best place to visit We started with couples of Mocktail drinks which was refreshing Our ratingsFood- 4/5Ambiance- 5/5Service- 5/5 Heading toward food we had1",1
lotus leaf,Eksar,quality,Sitting is very spacious and comfortable.The food quality is great and higenic,1
lotus leaf,Eksar,vibe,"Lotus leaf- Place is located @ askay resort , new link road , Borivali.Interior is classy and has amazing energy level with fantastic vibe and great feeling once we enter this place.Staff here is well mannered and active in taking orders Eye catching decors impressed me at first look , This place is open 24hrs for night craving ppl this is best place to visit We started with couples of Mocktail drinks which was refreshing Our ratingsFood- 4/5Ambiance- 5/5Service- 5/5 Heading toward food we had1",1
lotus leaf,Eksar,ambience,"This place is situated in eskay resort 1st floor , next to time square lane , off new link road , Borivali west.This place have impressive ambience , beautiful structures , group seating , pure veg food , live screening , open kitchen , smoking area , powerful drinks and Hardworking staff.At here we have try some good and interesting food",1
lotus leaf,Eksar,ambience,The ambience is excellent,1
lotus leaf,Eksar,service,"Lotus leaf a part of esaky resorts i recently visited this place with my friend to have some lunch over here.The place is very much nice open view , Peace , Relaxful .The outlet is very much big to party over here and talking about is quite simple but elegant .The staff is also co operative and the service is also good and Now let is head to the dishes that we head here..Drinks..1.Fruit Punch.2.Green Colada..Appetizer..1.Kathi Roll.2.Chau Chu Panner..Mains..1.PannerTikka Masala..2.Awadhi Parda Lakwani Biryani ... Breads..Lacha paratha ... Dessert.Tiramisu..We had an good time over here",1
lotus leaf,Eksar,service,"The place is quite big , decor quite impressive with open see thru kitchen , service good and food amazing",1
lotus leaf,Eksar,service,The service here is amazing,1
andheri west,Eksar,cuisine,"A good place for food/drinks close to infinity mall , sitting available open , family area , pub with musicChoose your options , menu for pub and restaurant is different we ordered and payed in family restaurant and shifted to pub for indian cuisines.Booz is very cheap 2 average drinkers with food say about 1500 .",1
andheri west,Eksar,place,Love a place that can make a good Paneer Tikka ! Fingers Cross does not disappoint : ) Try the Masala Papad too !,1
andheri west,Eksar,place,I wanted my guy to enjoy Bollywood karaoke coz he is a Bollywood fan and someone told me that fingers cross was a cool place,1
andheri west,Eksar,place,I think it is important to win new customers too while keeping the old ones happy.I will not really recommend this place to any karaoke fans unless you guys change a few things around there .,1
